Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
Santo Domingo,83,"$3,943,441","$1,490,000","$26,920,074,491,025","$5,188,456","$262,057"
Houston,48,"$3,294,343","$1,175,000","$18,265,536,164,946","$4,273,820","$284,290"
San Pedro de Macoris,38,"$3,954,237","$1,000,000","$29,670,602,173,561","$5,447,073","$443,276"
San Diego,33,"$3,545,081","$2,000,000","$23,578,162,960,546","$4,855,735","$364,979"
Caracas,30,"$3,372,866","$1,762,500","$15,290,982,817,113","$3,910,369","$299,912"
Los Angeles,29,"$2,648,918","$1,050,000","$9,660,219,085,158","$3,108,089","$253,774"
Miami,24,"$1,239,391","$505,600","$1,732,277,104,068","$1,316,160","$144,467"
Dallas,24,"$1,860,588","$509,662","$18,387,294,014,648","$4,288,041","$520,001"
Atlanta,22,"$2,232,524","$975,000","$5,701,369,388,784","$2,387,754","$229,762"
San Cristobal,22,"$2,449,200","$807,500","$12,188,525,562,947","$3,491,207","$400,469"
Tampa,21,"$3,924,095","$2,750,000","$14,667,941,724,248","$3,829,875","$392,937"
La Habana,20,"$2,107,012","$875,000","$5,907,387,960,650","$2,430,512","$303,814"
Valencia,19,"$3,110,384","$750,000","$26,611,309,524,317","$5,158,615","$587,879"
Long Beach,19,"$2,221,542","$850,000","$7,139,760,327,958","$2,672,033","$308,540"
Santiago,18,"$3,186,269","$1,500,000","$15,793,123,513,615","$3,974,056","$405,600"
Maracay,18,"$5,274,501","$2,500,000","$38,713,219,580,951","$6,221,995","$628,516"
Cincinnati,17,"$2,717,255","$1,037,500","$10,297,261,426,482","$3,208,935","$363,340"
Maracaibo,17,"$2,123,904","$750,000","$9,711,719,264,510","$3,116,363","$402,321"
Sacramento,17,"$3,468,319","$1,450,000","$14,524,673,529,042","$3,811,125","$413,375"
Rio Piedras,16,"$2,345,750","$1,325,000","$6,316,553,865,293","$2,513,276","$280,993"
Chicago,14,"$1,714,319","$837,500","$3,868,778,758,062","$1,966,921","$267,664"
Fort Lauderdale,14,"$1,574,018","$505,600","$3,718,272,543,646","$1,928,282","$312,809"
